ID,duration,wav,spk_id,prediction,reference
1,1950.0,TORGO/MC01/Session2/wav_arrayMic/0255.wav,MC01,chair,chair
2,2250.0,TORGO/MC01/Session2/wav_arrayMic/0180.wav,MC01,fed,fed
3,1800.0,TORGO/MC01/Session2/wav_arrayMic/0303.wav,MC01,dead,dead
4,2250.0,TORGO/MC01/Session2/wav_arrayMic/0197.wav,MC01,eat,eat
5,2250.0,TORGO/MC01/Session2/wav_arrayMic/0062.wav,MC01,wicker,wicker
6,1800.0,TORGO/MC01/Session2/wav_arrayMic/0319.wav,MC01,lee,lee
7,3600.0,TORGO/MC01/Session2/wav_arrayMic/0071.wav,MC01,i'm willing to experiment for the first time,i'm willing to experiment for the first time
8,1800.0,TORGO/MC01/Session2/wav_arrayMic/0008.wav,MC01,lick,lick
9,5400.0,TORGO/MC01/Session2/wav_arrayMic/0010.wav,MC01,nothing has been done yet to take advantage of the enabling legislation,nothing has been done yet to take advantage of the enabling legislation
10,2550.0,TORGO/MC01/Session2/wav_arrayMic/0170.wav,MC01,and,and
11,4050.0,TORGO/MC01/Session2/wav_arrayMic/0110.wav,MC01,he really crucified him he nailed it for a yard loss,he really crucified him he nailed it for a yard loss
12,3300.0,TORGO/MC01/Session2/wav_arrayMic/0123.wav,MC01,a pair of shoes was new,the pair of shoes was new
13,1950.0,TORGO/MC01/Session2/wav_arrayMic/0317.wav,MC01,select,select
14,1800.0,TORGO/MC01/Session2/wav_arrayMic/0309.wav,MC01,rise,rise
15,1800.0,TORGO/MC01/Session2/wav_arrayMic/0234.wav,MC01,yes,yes
16,2100.0,TORGO/MC01/Session2/wav_arrayMic/0184.wav,MC01,tug,tug
17,2400.0,TORGO/MC01/Session2/wav_arrayMic/0217.wav,MC01,wise,wise
18,1200.0,TORGO/MC01/Session2/wav_arrayMic/0362.wav,MC01,cote,coat
19,2100.0,TORGO/MC01/Session2/wav_arrayMic/0300.wav,MC01,four,four
20,1650.0,TORGO/MC01/Session2/wav_arrayMic/0347.wav,MC01,reap,reap
