ID,duration,wav,spk_id,wrd,micsetup,gender,control,session
1,1950.0,TORGO/MC01/Session2/wav_arrayMic/0255.wav,MC01,chair,array,M,True,Session2
2,2250.0,TORGO/MC01/Session2/wav_arrayMic/0180.wav,MC01,fed,array,M,True,Session2
3,1800.0,TORGO/MC01/Session2/wav_arrayMic/0303.wav,MC01,dead,array,M,True,Session2
4,2250.0,TORGO/MC01/Session2/wav_arrayMic/0197.wav,MC01,eat,array,M,True,Session2
5,2250.0,TORGO/MC01/Session2/wav_arrayMic/0062.wav,MC01,wicker,array,M,True,Session2
6,1800.0,TORGO/MC01/Session2/wav_arrayMic/0319.wav,MC01,lee,array,M,True,Session2
7,3600.0,TORGO/MC01/Session2/wav_arrayMic/0071.wav,MC01,im willing to experiment for the first time,array,M,True,Session2
8,1800.0,TORGO/MC01/Session2/wav_arrayMic/0008.wav,MC01,lick,array,M,True,Session2
9,5400.0,TORGO/MC01/Session2/wav_arrayMic/0010.wav,MC01,nothing has been done yet to take advantage of the enabling legislation,array,M,True,Session2
10,2550.0,TORGO/MC01/Session2/wav_arrayMic/0170.wav,MC01,and,array,M,True,Session2
11,4050.0,TORGO/MC01/Session2/wav_arrayMic/0110.wav,MC01,he really crucified him he nailed it for a yard loss,array,M,True,Session2
12,3300.0,TORGO/MC01/Session2/wav_arrayMic/0123.wav,MC01,the pair of shoes was new,array,M,True,Session2
13,1950.0,TORGO/MC01/Session2/wav_arrayMic/0317.wav,MC01,select,array,M,True,Session2
14,1800.0,TORGO/MC01/Session2/wav_arrayMic/0309.wav,MC01,rise,array,M,True,Session2
15,1800.0,TORGO/MC01/Session2/wav_arrayMic/0234.wav,MC01,yes,array,M,True,Session2
16,2100.0,TORGO/MC01/Session2/wav_arrayMic/0184.wav,MC01,tug,array,M,True,Session2
17,2400.0,TORGO/MC01/Session2/wav_arrayMic/0217.wav,MC01,wise,array,M,True,Session2
18,1200.0,TORGO/MC01/Session2/wav_arrayMic/0362.wav,MC01,coat,array,M,True,Session2
19,2100.0,TORGO/MC01/Session2/wav_arrayMic/0300.wav,MC01,four,array,M,True,Session2
20,1650.0,TORGO/MC01/Session2/wav_arrayMic/0347.wav,MC01,reap,array,M,True,Session2
21,2550.0,TORGO/MC01/Session2/wav_arrayMic/0244.wav,MC01,toe,array,M,True,Session2
22,2400.0,TORGO/MC01/Session2/wav_arrayMic/0127.wav,MC01,sing,array,M,True,Session2
23,4800.0,TORGO/MC01/Session2/wav_arrayMic/0222.wav,MC01,barbs gold bracelet was a graduation present,array,M,True,Session2
24,2250.0,TORGO/MC01/Session2/wav_arrayMic/0107.wav,MC01,knot,array,M,True,Session2
25,3750.0,TORGO/MC01/Session2/wav_arrayMic/0045.wav,MC01,i expect well bounce back this week,array,M,True,Session2
26,3600.0,TORGO/MC01/Session2/wav_arrayMic/0132.wav,MC01,then wed really have someplace to go,array,M,True,Session2
27,3900.0,TORGO/MC01/Session2/wav_arrayMic/0145.wav,MC01,tango,array,M,True,Session2
28,1950.0,TORGO/MC01/Session2/wav_arrayMic/0281.wav,MC01,geese,array,M,True,Session2
29,2400.0,TORGO/MC01/Session2/wav_arrayMic/0194.wav,MC01,sew,array,M,True,Session2
30,2700.0,TORGO/MC01/Session2/wav_arrayMic/0082.wav,MC01,tin,array,M,True,Session2
31,1950.0,TORGO/MC01/Session2/wav_arrayMic/0210.wav,MC01,geese,array,M,True,Session2
32,1800.0,TORGO/MC01/Session2/wav_arrayMic/0040.wav,MC01,dart,array,M,True,Session2
33,1950.0,TORGO/MC01/Session2/wav_arrayMic/0212.wav,MC01,fort,array,M,True,Session2
34,2100.0,TORGO/MC01/Session2/wav_arrayMic/0103.wav,MC01,four,array,M,True,Session2
35,1950.0,TORGO/MC01/Session2/wav_arrayMic/0076.wav,MC01,ticker,array,M,True,Session2
36,1950.0,TORGO/MC01/Session2/wav_arrayMic/0020.wav,MC01,pitting,array,M,True,Session2
37,4050.0,TORGO/MC01/Session2/wav_arrayMic/0117.wav,MC01,you want him to do well,array,M,True,Session2
38,1500.0,TORGO/MC01/Session2/wav_arrayMic/0033.wav,MC01,cart,array,M,True,Session2
39,3600.0,TORGO/MC01/Session2/wav_arrayMic/0286.wav,MC01,she doesnt like to have it hanging around,array,M,True,Session2
40,1800.0,TORGO/MC01/Session2/wav_arrayMic/0205.wav,MC01,bill,array,M,True,Session2
41,1650.0,TORGO/MC01/Session2/wav_arrayMic/0199.wav,MC01,quart,array,M,True,Session2
42,2550.0,TORGO/MC01/Session2/wav_arrayMic/0181.wav,MC01,night,array,M,True,Session2
43,3000.0,TORGO/MC01/Session2/wav_arrayMic/0355.wav,MC01,it was very popular with our fans,array,M,True,Session2
44,4650.0,TORGO/MC01/Session2/wav_arrayMic/0209.wav,MC01,young people participate in athletic activities,array,M,True,Session2
